true,corr,mmd,kol,wilc,rdc
1,0,0,0,0,0
0,0.192,0,0,0,0.229
1,0,0,0,0,0
0,0.418,0,0,0.011,0.152
1,0,0,0,0,0
1,0,0,0,0,0
0,0.143,0,0,0.063,0.339
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0.064,0,0,0,0.375
0,0.091,0,0,0,0.05
0,0.176,0,0,0,0.286
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0.062,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0.171,0,0,0,0.345
0,0.253,0,0,0,0.167
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0.274,0,0,0,0.337
0,0.137,0,0,0,0.009
0,0.015,0,0,0,0.418
0,0.046,0,0,0,0.37
0,0.327,0,0,0,0.117
0,0.327,0,0,0,0.241
0,0.059,0,0,0,0.262
0,0.388,0,0,0,0.192
0,0.039,0,0,0,0.229
0,0.099,0,0,0,0.31
1,0,0,0,0,0
1,0,0,0,0,0
0,0.209,0,0,0,0.459
1,0,0,0,0,0
0,0.197,0,0,0,0.038
0,0.016,0,0,0,0.028
0,0.257,0,0,0,0.292
0,0.079,0,0,0,0.412
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0.496,0,0,0,0.234
0,0.098,0,0,0,0.224
0,0.208,0,0,0,0.01
0,0.395,0,0,0,0.43
0,0.035,0,0,0,0.048
1,0,0,0,0,0
1,0,0,0,0,0
0,0.09,0,0,0,0.375
1,0,0,0,0,0
0,0.365,0,0,0,0.268
0,0.093,0,0,0,0.025
1,0,0,0,0,0
0,0.389,0,0,0,0.222
0,0.175,0,0,0,0.276
1,0,0,0,0,0
0,0.43,0,0,0,0.161
0,0.306,0,0,0,0.113
0,0.034,0,0,0,0.071
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0.367,0,0,0,0.32
0,0.448,0,0,0,0.247
1,0,0,0,0,0
0,0.317,0,0,0,0.471
0,0.342,0,0,0,0.259
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0.011,0,0,0,0.067
0,0.484,0,0,0,0.49
1,0,0,0,0,0
0,0.271,0,0,0,0.48
0,0.304,0,0,0,0.379
1,0,0,0,0,0
0,0.327,0,0,0,0.474
0,0,0,0,0,0.003
1,0,0,0,0,0
1,0,0,0,0,0
0,0.256,0,0,0,0.047
0,0.371,0,0,0,0.384
1,0,0,0,0,0
0,0.03,0,0,0,0.438
0,0.164,0,0,0,0.099
1,0,0,0,0,0
0,0.442,0,0,0,0.08
0,0.242,0,0,0,0.702
1,0,0,0,0,0
0,0.233,0,0,0,0.375
0,0.109,0,0,0,0.379
0,0.144,0,0,0,0.225
0,0.015,0,0,0,0.139
0,0.048,0,0,0,0.356
1,0,0,0,0,0
1,0,0,0,0,0
0,0.195,0,0,0,0.429
1,0,0,0,0,0
0,0.068,0,0,0,0.102
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0.223,0,0,0,0.226
0,0.225,0,0,0,0.279
0,0.275,0,0,0.007,0.313
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0.222,0,0,0,0.235
1,0,0,0,0,0
1,0,0,0,0.052,0
0,0.007,0,0,0,0.058
1,0,0,0,0,0
1,0,0,0,0,0
0,0.106,0,0,0,0.412
1,0,0,0,0,0
0,0.005,0,0,0,0.153
0,0.183,0,0,0,0.234
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0.44,0,0,0,0.261
0,0.021,0,0,0,0.369
0,0.488,0,0,0,0.168
0,0.26,0,0,0,0.196
1,0,0,0,0,0
0,0.077,0,0,0,0.344
0,0.199,0,0,0,0.369
1,0,0,0,0,0
1,0,0,0,0,0
0,0.446,0,0,0,0.325
1,0,0,0,0,0
0,0.021,0,0,0,0.199
1,0,0,0,0,0
0,0.263,0,0,0,0.26
0,0.41,0,0,0.359,0.448
1,0,0,0,0,0
0,0.463,0,0,0,0.307
0,0.181,0,0,0,0.093
0,0.451,0,0,0,0.034
1,0,0,0,0,0
0,0.069,0,0,0,0.437
0,0.255,0,0,0,0.396
1,0,0,0,0,0
1,0,0,0,0,0
0,0.105,0,0,0,0.348
0,0.013,0,0,0,0.364
0,0.099,0,0,0,0.004
0,0.095,0,0,0,0.125
0,0.142,0,0,0,0.278
1,0,0,0,0,0
0,0.159,0,0,0,0.415
1,0,0,0,0,0
0,0.455,0,0,0,0.419
1,0,0,0,0,0
0,0.336,0,0,0,0.299
1,0,0,0,0,0
1,0,0,0,0,0
0,0.424,0,0,0,0.184
0,0.036,0,0,0,0.25
1,0,0,0,0,0
1,0,0,0,0,0
0,0.336,0,0,0,0.176
1,0,0,0,0,0
1,0,0,0,0,0
0,0.337,0,0,0,0.06
0,0.286,0,0,0,0.186
0,0.091,0,0,0,0.16
1,0,0,0,0,0
1,0,0,0,0,0
0,0.004,0,0,0,0.027
0,0.316,0,0,0,0.193
0,0.025,0,0,0,0.206
0,0.268,0,0,0,0.39
1,0,0,0,0,0
1,0,0,0,0,0
0,0.465,0,0,0,0.047
0,0.281,0,0,0,0.495
0,0.457,0,0,0,0.239
0,0.019,0,0,0,0.196
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0.296,0,0,0,0.472
0,0.271,0,0,0,0.017
0,0.112,0,0,0,0.268
1,0,0,0,0,0
1,0,0,0,0,0
0,0.109,0,0,0,0.191
0,0.239,0,0,0,0.2
1,0,0,0,0,0
1,0,0,0,0,0
